ssIOReceive,IO_Receive,walk,value,input,.1.3.6.1.4.1.2021.11.6,UCD-SNMP-MIB,CPU,INTEGER,52
ssSysInterrupts,SysInterrupts,walk,value,input,.1.3.6.1.4.1.2021.11.7,UCD-SNMP-MIB,CPU,INTEGER,1042
ssSysContext,Context,walk,value,input,.1.3.6.1.4.1.2021.11.8,UCD-SNMP-MIB,CPU,INTEGER,159
ssCpuUser,percentage_of_user_CPU_time,walk,value,input,.1.3.6.1.4.1.2021.11.9,UCD-SNMP-MIB,CPU,INTEGER,0
ssCpuSystem,percentages_of_system_CPU_time,walk,value,input,.1.3.6.1.4.1.2021.11.10,UCD-SNMP-MIB,CPU,INTEGER,1
ssCpuIdle,percentages_of_idle_CPU_time,walk,value,input,.1.3.6.1.4.1.2021.11.11,UCD-SNMP-MIB,CPU,INTEGER,97
ssCpuRawUser,raw_user_cpu_time,walk,value,input,.1.3.6.1.4.1.2021.11.50,UCD-SNMP-MIB,CPU,Counter32,16664
ssCpuRawNice,raw_nice_cpu_time,walk,value,input,.1.3.6.1.4.1.2021.11.51,UCD-SNMP-MIB,CPU,Counter32,0
ssCpuRawSystem,raw_system_cpu_time,walk,value,input,.1.3.6.1.4.1.2021.11.52,UCD-SNMP-MIB,CPU,Counter32,45684
ssCpuRawIdle,raw_idle_cpu_time,walk,value,input,.1.3.6.1.4.1.2021.11.53,UCD-SNMP-MIB,CPU,Counter32,2905159
ssCpuRawWait,raw_wait_time,walk,value,input,.1.3.6.1.4.1.2021.11.54,UCD-SNMP-MIB,CPU,Counter32,31177
ssCpuRawKernel,raw_kernel_time,walk,value,input,.1.3.6.1.4.1.2021.11.55,UCD-SNMP-MIB,CPU,Counter32,38020
ssCpuRawInterrupt,raw_interrupt_request_time,walk,value,input,.1.3.6.1.4.1.2021.11.56,UCD-SNMP-MIB,CPU,Counter32,1440
ssIORawSent,raw_Sent,walk,value,input,.1.3.6.1.4.1.2021.11.56,UCD-SNMP-MIB,CPU,Counter32,3085384
ssIORawReceived,raw_Received,walk,value,input,.1.3.6.1.4.1.2021.11.57,UCD-SNMP-MIB,CPU,Counter32,479888
ssRawInterrupts,raw_Interrupts,walk,value,input,.1.3.6.1.4.1.2021.11.58,UCD-SNMP-MIB,CPU,Counter32,30828422
ssRawInterrupts,raw_Interrupts,walk,value,input,.1.3.6.1.4.1.2021.11.59,UCD-SNMP-MIB,CPU,Counter32,4711793
ssCpuRawSoftIRQ,raw_soft_interrupt_Request_time,walk,value,input,.1.3.6.1.4.1.2021.11.60,UCD-SNMP-MIB,CPU,Counter32,6224
ssRawSwapIn,raw_SwapIn,walk,value,input,.1.3.6.1.4.1.2021.11.61,UCD-SNMP-MIB,CPU,Counter32,0
ssRawSwapOut,raw_SwapOut,walk,value,input,.1.3.6.1.4.1.2021.11.62,UCD-SNMP-MIB,CPU,Counter32,0
diskIOIndex,index_of_diskIO,walk,value,input,.1.3.6.1.4.1.2021.13.15.1.1.1,UCD-SNMP-MIB,DISKIO,INTEGER,0
diskIODevice,device_of_diskIO,walk,value,input,.1.3.6.1.4.1.2021.13.15.1.1.2,UCD-SNMP-MIB,DISKIO,STRING,1
diskIONRead,Not_Read_of_diskIO,walk,value,input,.1.3.6.1.4.1.2021.13.15.1.1.3,UCD-SNMP-MIB,DISKIO,Counter32,2
diskIONWritten,Not_Written_of_diskIO,walk,value,input,.1.3.6.1.4.1.2021.13.15.1.1.4,UCD-SNMP-MIB,DISKIO,Counter32,3
diskIOReads,Reads_of_diskIO,walk,value,input,.1.3.6.1.4.1.2021.13.15.1.1.5,UCD-SNMP-MIB,DISKIO,Counter32,4
diskIOWrites,Writes_of_diskIO,walk,value,input,.1.3.6.1.4.1.2021.13.15.1.1.6,UCD-SNMP-MIB,DISKIO,Counter32,5
diskIONReadX,Not_ReadX_of_diskIO,walk,value,input,.1.3.6.1.4.1.2021.13.15.1.1.12,UCD-SNMP-MIB,DISKIO,Counter64,6
diskIONWrittenX,Not_WrittenX_of_diskIO,walk,value,input,.1.3.6.1.4.1.2021.13.15.1.1.13,UCD-SNMP-MIB,DISKIO,Counter64,7
